,MSE,RMSE,MAE,MAPE,R^2
AUD,0.0037033995060579985,0.06085556265501124,0.056799531910005946,0.0877311565524633,-3.7394687297720726
GBP,0.006888153746501647,0.08299490193079119,0.06486283696457036,0.0877311565524633,0.3930024256809894
CAD,0.0016573671443500155,0.040710774303002586,0.036862760418180616,0.0877311565524633,-0.818404336951891
CHF,0.001304821905457181,0.03612231866114329,0.029507542204166615,0.0877311565524633,-0.3269629866582795
CNY,0.0011034221074133037,0.0332177980518472,0.03288570020457527,0.0877311565524633,-42.97818581999794
JPY,6.854774572646261e-06,0.0026181624419898512,0.002151526203954208,0.0877311565524633,-18.140063404156972
NZD,0.0005009344255490192,0.022381564412458286,0.01870648607988515,0.0877311565524633,0.6329407098320419
SGD,0.00033927774605323164,0.018419493642693647,0.014100098963363386,0.0877311565524633,-0.2091647659460365
Average,0.0019380289194943804,0.037165072012367156,0.0319845603685877,0.0877311565524633,-8.14828836349627
