,MSE,RMSE,MAE,MAPE,R^2
AUD,0.0027926439244937767,0.052845472128591836,0.04778173360646498,0.2466684408125689,-2.632729382528048
GBP,0.009540532712902125,0.09767565056298384,0.07909868439205445,0.2466684408125689,0.17059189876372427
CAD,0.0009981473522706662,0.03159347008909699,0.027252585441099333,0.2466684408125689,-0.12297728307400457
CHF,0.0011748853099337372,0.0342766000346262,0.0271753922073775,0.2466684408125689,-0.19136318952044773
CNY,0.0014262741212251128,0.03776604455360811,0.03752157662330145,0.2466684408125689,-55.09751663027054
JPY,0.00018859909013054424,0.013733138393336909,0.013163791997104728,0.2466684408125689,-526.1642641090993
NZD,0.00041676117523690135,0.020414729369670846,0.016628693774128473,0.2466684408125689,0.6891737010804972
SGD,0.0004378326148021354,0.02092445016725972,0.01720983391879275,0.2466684408125689,-0.5442013696023218
Average,0.002121959537624375,0.038653694412396813,0.03322903649504046,0.2466684408125689,-72.98666079553132
