,MSE,RMSE,MAE,MAPE,R^2
AUD,0.0028425288745457765,0.053315371841015764,0.0480781384856451,0.26455200175963983,-2.57323448702795
GBP,0.00788192748631269,0.08878022012989543,0.07370375276111371,0.26455200175963983,0.29563632946734864
CAD,0.001081342143459178,0.03288376717256066,0.028401119508811766,0.26455200175963983,-0.15398242841761522
CHF,0.001146310570907566,0.03385720855161521,0.027948357841391564,0.26455200175963983,-0.17743684029340545
CNY,0.001248251874804653,0.035330608186169864,0.03479518850583791,0.26455200175963983,-49.4593653788524
JPY,0.00020948003755550263,0.014473425218499683,0.0144312429935188,0.26455200175963983,-583.0218355751456
NZD,0.0009034352151149502,0.030057199056381656,0.025143824872696566,0.26455200175963983,0.34949092511453006
SGD,0.00026458727938163994,0.016266139043474327,0.012002988115110455,0.26455200175963983,0.048509471998568365
Average,0.0019472329352602446,0.03812049239995158,0.033063076635515734,0.26455200175963983,-79.33652724789457
