,MSE,RMSE,MAE,MAPE,R^2
AUD,0.0035516503112582145,0.059595723934341246,0.054762874078476735,0.2087228541317889,-3.598835030526889
GBP,0.007513023527598872,0.08667769913650726,0.06814325937633622,0.2087228541317889,0.34382004383470555
CAD,0.0014306730904085274,0.03782423945578453,0.033349436453150125,0.2087228541317889,-0.5969987792718159
CHF,0.001843037904200903,0.04293061732843942,0.03656285806784443,0.2087228541317889,-0.8698063625469366
CNY,0.0012711844594504344,0.035653673856286316,0.03543504818537881,0.2087228541317889,-49.21519926496236
JPY,0.00013024539741476803,0.01141251056581189,0.010577864201776387,0.2087228541317889,-362.9117916289893
NZD,0.0007431870035373008,0.027261456372272206,0.022254922673662716,0.2087228541317889,0.44885755514554493
SGD,0.0002101390992034073,0.014496175330183037,0.010183613243566696,0.2087228541317889,0.2558518924211042
Average,0.0020866425991340537,0.03948151199745324,0.033908734535024014,0.2087228541317889,-52.018012696861994
